Date,Close
2024-08-05,11543.25
2024-08-06,11510.46
2024-08-07,11843.18
2024-08-08,11827.43
2024-08-09,11865.93
2024-08-12,11873.71
2024-08-13,11928.14
2024-08-14,12071.83
2024-08-15,12150.22
2024-08-16,12188.73
2024-08-19,12275.24
2024-08-20,12266.56
2024-08-21,12250.11
2024-08-22,12305.45
2024-08-23,12347.46
2024-08-26,12354.35
2024-08-27,12296.72
2024-08-28,12348.7
2024-08-29,12417.72
2024-08-30,12436.59
2024-09-02,12451.48
2024-09-03,12348.19
2024-09-04,12176.17
2024-09-05,12031.34
2024-09-06,11908.24
2024-09-09,11980.64
2024-09-10,11964.71
2024-09-11,11922.91
2024-09-12,11982.34
2024-09-13,12037.28
2024-09-16,12005.47
2024-09-17,12042.78
2024-09-18,11982.3
2024-09-19,12058.3
2024-09-20,11934.07
2024-09-23,11965.35
2024-09-24,12048.85
2024-09-25,12148.38
2024-09-26,12209.62
2024-09-27,12234.05
2024-09-30,12168.87
2024-10-01,12086.66
2024-10-02,12122.09
2024-10-03,12012.32
2024-10-04,11997.09
2024-10-07,12008.7
2024-10-08,12010.99
2024-10-09,12122.93
2024-10-10,12077.76
2024-10-11,12154.19
2024-10-14,12259.23
2024-10-15,12218.85
2024-10-16,12193.07
2024-10-17,12304.27
2024-10-18,12326.76
2024-10-21,12261.87
2024-10-22,12163.33
2024-10-23,12147.1
2024-10-24,12173.04
2024-10-25,12184.0
2024-10-28,12237.97
2024-10-29,12100.57
2024-10-30,11967.7
2024-10-31,11792.92
